温度(°C),反应速率(mol/L·s),pH,产率(%)
20,0.012,7.0,45.2
25,0.018,7.0,52.1
30,0.026,7.0,58.7
35,0.038,7.0,63.4
40,0.052,7.0,66.8
45,0.071,7.0,68.3
50,0.095,7.0,65.1
55,0.128,7.0,59.6
60,0.169,7.0,51.2
20,0.011,6.5,42.1
25,0.016,6.5,49.5
30,0.024,6.5,55.3
35,0.034,6.5,60.8
40,0.048,6.5,64.2
45,0.065,6.5,65.7
50,0.088,6.5,62.3
55,0.119,6.5,56.8
60,0.158,6.5,48.5
20,0.010,7.5,43.8
25,0.015,7.5,50.1
30,0.022,7.5,56.0
35,0.032,7.5,61.5
40,0.045,7.5,65.0
45,0.062,7.5,66.5
50,0.083,7.5,63.2
55,0.112,7.5,57.5
60,0.150,7.5,49.0